ID,Shape,Polymer,Polymer_name,Degradation,shoot_mg,root_mg,totalmass_mg,WSA,CO2_ppm,SRSA,SRL,RTD,diameter_mm,WaterAbsorb,UV_Incubation_Days,Soil_Incubation_Days,Total_Incubation_Days,Degradation_Percent
Control1,Control,Control,Control,Control,81.8,64.3,146.1,37.77,1308.87,16.456,243.44,112.6761,0.2152,-,0,85,85,31.03
Control2,Control,Control,Control,Control,62.3,26.2,88.5,43.37,1105.870884,16.109722,224.3311111,109.0909,0.2286,-,0,85,85,26.22
Control3,Control,Control,Control,Control,76.3,57.9,134.2,40.74,1308.87,13.449643,192.8296429,133.3333,0.222,-,0,85,85,31.03
Control6,Control,Control,Control,Control,61.9,65.5,127.4,41.44,849.1093664,12.889268,173.2634146,130.1587,0.2368,-,0,85,85,20.13
Control7,Control,Control,Control,Control,51.7,46.1,97.8,31.54,1031.86348,20.240638,312.9812766,95.9184,0.2059,-,0,85,85,24.46
Control8,Control,Control,Control,Control,74.6,66.7,141.3,47.17,1283.42398,17.583667,252.4706667,103.4483,0.2217,-,0,85,85,30.43
Control9,Control,Control,Control,Control,114.5,54.8,169.3,41.35,2787.301538,12.502,180.8324,147.0588,0.2201,-,0,85,85,66.08
Control10,Control,Control,Control,Control,68.9,42.1,111.0,46.82,1308.87,15.626186,201.094433,103.1915,0.2473,-,0,85,85,31.03
Control11,Control,Control,Control,Control,90.3,73.5,163.8,58.95,1022.409595,16.16175,205.31925,98.7654,0.2506,-,0,85,85,24.24
Control12,Control,Control,Control,Control,92.8,46.1,138.9,42.82,1211.07637,12.338696,173.4604348,143.75,0.2264,-,0,85,85,28.71
Control13,Control,Control,Control,Control,74.8,82.0,156.8,42.31,1121.443253,16.245588,242.1951471,115.25,0.2135,-,0,85,85,26.59
Control14,Control,Control,Control,Control,81.2,45.4,126.6,24.72,1153.593734,17.643148,256.8675926,103.8462,0.2186,-,0,85,85,27.35
LDPE-A1-1,Film,Film_PE,Low_Density_polyethylene,Non_degraded,67.5,39.1,106.6,49.55,1851.98221,15.600959,214.1135616,110.6061,0.2319,0.08,14,85,99,43.92
LDPE-A1-2,Film,Film_PE,Low_Density_polyethylene,Non_degraded,74.4,58.7,133.1,52.16,2118.794544,15.793929,262.7642857,133.3333,0.1913,0.04,14,85,99,50.24
LDPE-A1-3,Film,Film_PE,Low_Density_polyethylene,Non_degraded,70.2,70.7,140.9,41.89,2033.909967,20.086957,299.9986957,92.0,0.2131,0.16,14,85,99,48.24
LDPE-A1-4,Film,Film_PE,Low_Density_polyethylene,Non_degraded,56.0,40.1,96.1,45.28,1677.65476,16.458571,269.7409524,123.5294,0.1942,-,14,85,99,39.77
LDPE-A1-5,Film,Film_PE,Low_Density_polyethylene,Non_degraded,65.3,48.1,113.4,58.37,1949.011701,20.834667,337.6744444,97.8261,0.1964,-,14,85,99,46.21
LDPE-A1-6,Film,Film_PE,Low_Density_polyethylene,Non_degraded,51.6,49.7,101.3,57.78,1473.965576,16.308889,225.9111111,107.1429,0.2298,-,14,85,99,34.94
LDPE-A1-7,Film,Film_PE,Low_Density_polyethylene,Non_degraded,53.9,46.5,100.4,63.08,1727.718599,21.04,325.8606667,93.75,0.2055,-,14,85,99,40.96
PET-A1-1,Film,Film_PET,Polyethylene_terephthalate,Non_degraded,66.3,56.8,123.1,68.49,1736.947544,22.03375,356.050625,94.1176,0.197,0.61,28,85,113,41.25
PET-A1-2,Film,Film_PET,Polyethylene_terephthalate,Non_degraded,70.3,67.0,137.3,50.93,1968.470848,13.598,189.919,125.0,0.2279,0.63,28,85,113,46.74
PET-A1-3,Film,Film_PET,Polyethylene_terephthalate,Non_degraded,67.6,53.1,120.7,57.27,1819.914577,24.591538,391.3284615,81.25,0.2,0.68,28,85,113,43.22
PET-A1-4,Film,Film_PET,Polyethylene_terephthalate,Non_degraded,73.2,67.4,140.6,52.3,1715.236156,19.272778,274.9888889,94.7368,0.2231,-,28,85,113,40.66
PET-A1-5,Film,Film_PET,Polyethylene_terephthalate,Non_degraded,63.5,67.3,130.8,35.46,1716.375731,15.443617,196.1555319,104.4444,0.2506,-,28,85,113,40.69
PET-A1-6,Film,Film_PET,Polyethylene_terephthalate,Non_degraded,68.3,79.6,147.9,69.28,2029.589594,16.286,198.412,93.75,0.2613,-,28,85,113,48.12
PET-A1-7,Film,Film_PET,Polyethylene_terephthalate,Non_degraded,77.8,68.9,146.7,59.76,2207.009094,20.092195,294.5604878,91.1111,0.2171,-,28,85,113,52.32
PP-A1-1,Film,Film_PP,Polypropylene,Non_degraded,59.6,72.3,131.9,51.77,1307.191227,20.246087,284.9434783,86.7925,0.2262,0.06,14,85,99,31.0
PP-A1-2,Film,Film_PP,Polypropylene,Non_degraded,53.0,49.9,102.9,55.61,1399.508055,20.038679,274.9283019,85.4839,0.232,0.18,14,85,99,33.2
PP-A1-3,Film,Film_PP,Polypropylene,Non_degraded,58.1,83.3,141.4,48.1,1649.383505,14.749318,184.1156818,106.4516,0.255,0.17,14,85,99,39.12
PP-A1-4,Film,Film_PP,Polypropylene,Non_degraded,74.0,109.5,183.5,45.86,1115.979765,18.868077,254.3161538,89.6552,0.2362,-,14,85,99,26.46
